Date,Price,Open,High,Low,Vol.,Change %
04/25/2024,135,134.5,135,134.5,,0.75%
04/24/2024,134,134.5,135,134,,0.00%
04/23/2024,134,133.5,134.5,133.5,,0.37%
04/22/2024,133.5,133.5,134,133,,0.38%
04/19/2024,133,133,133.55,132.75,,0.19%
04/18/2024,132.75,132.5,133.5,132.25,,0.57%
04/17/2024,132,131.5,133,131.125,,0.76%
04/16/2024,131,130.75,132,130.25,,0.38%
04/15/2024,130.5,130,131,130,,0.77%
04/12/2024,129.5,130,130,130,,0.00%
04/11/2024,129.5,130,130,130,,-0.49%
04/10/2024,130.14,130,130.14,130,,0.49%
04/09/2024,129.5,130,130.05,129.75,,0.00%
04/08/2024,129.5,130,130,130,,0.00%
04/05/2024,129.5,130,130.5,129.35,,0.00%
04/04/2024,129.5,131,131.5,129.75,,-0.77%
04/03/2024,130.5,131.25,131.6,130.75,,-0.38%
04/02/2024,131,131.5,132,131.25,,-0.38%
04/01/2024,131.5,131.75,132.444,131.5,,-0.38%
03/29/2024,132,132.5,132.61,132,,0.57%
03/28/2024,131.25,131.5,132,131.25,,-0.19%
03/27/2024,131.5,131.5,132,130.975,,0.38%
03/26/2024,131,132,132.5,131,,-0.38%
03/25/2024,131.5,132.5,132.5,131.75,,-0.38%
03/22/2024,132,132.5,132.625,132,,0.00%
03/21/2024,132,132.5,133,132.5,,0.00%
03/20/2024,132,133,133,132.5,,0.00%
03/19/2024,132,134,134,132.5,,-1.12%
03/18/2024,133.5,134,134.5,133.5,,-0.37%
03/15/2024,134,134,135.5,134,,0.00%
03/14/2024,134,137,137.5,134.5,,-2.19%
03/13/2024,137,138.5,138.5,137,,-1.08%
03/12/2024,138.5,139.4,140,138.5,,-0.14%
03/11/2024,138.7,140.5,140.5,139,,-0.57%
03/08/2024,139.5,142,142.5,139.5,,-1.76%
03/07/2024,142,143,143,142,,-0.35%
03/06/2024,142.5,142.75,143.5,142.5,,0.00%
03/05/2024,142.5,144.5,144.5,142.5,,-1.04%
03/04/2024,144,146,146,144.5,,-1.03%
03/01/2024,145.5,146.75,147,145.5,,-0.68%
02/29/2024,146.5,146,147.2,145.5,,0.34%
02/28/2024,146,146,147,145.5,,0.00%
02/27/2024,146,145.5,146.5,145.5,,0.69%
02/26/2024,145,145.5,146,145.5,,0.00%
02/23/2024,145,146.5,146.5,145.5,,-0.68%
02/22/2024,146,146.5,146.5,145.5,,0.34%
02/21/2024,145.5,145.5,146.5,144.5,,0.34%
02/20/2024,145,145.5,145.5,144.5,,0.00%
02/19/2024,145,145,145.5,144.5,,0.69%
02/16/2024,144,145.5,145.5,143.25,,-0.69%
02/15/2024,145,150.5,151.5,139.5,,-3.33%
02/14/2024,150,156.5,156.5,150.5,,-3.54%
02/13/2024,155.5,158.5,158.5,156,,-1.27%
02/12/2024,157.5,160,160,158,,-0.94%
02/09/2024,159,160,160.5,159.5,,-0.63%
02/08/2024,160,160.5,160.5,159.6,,0.00%
02/07/2024,160,160.5,160.5,160.4,,0.00%
02/06/2024,160,160.5,160.5,160.3,,0.00%
02/05/2024,160,160.5,160.5,160.5,,0.00%
02/02/2024,160,160.5,160.5,160,,0.00%
02/01/2024,160,160.5,161,160.35,,0.00%
01/31/2024,160,161.5,161.5,160.5,,-0.62%
01/30/2024,161,162,162,161,,0.00%
01/29/2024,161,162.5,163,161.5,,-0.62%
01/26/2024,162,163.5,163.5,162,,-0.61%
01/25/2024,163,163.5,163.5,162.65,,0.15%
01/24/2024,162.75,163,163.5,162.15,,0.15%
01/23/2024,162.5,162.5,163,161.75,,0.31%
01/22/2024,162,162,162.5,161.4,,0.31%
01/19/2024,161.5,161.75,162,161.3,,0.16%
01/18/2024,161.25,161,161.75,160.5,,0.47%
01/17/2024,160.5,160,161.5,160,,0.50%
01/16/2024,159.7,159.5,160.75,159.5,,0.13%
01/15/2024,159.5,159.5,160.25,157.35,,0.31%
01/12/2024,159,159.5,159.75,158.75,,0.32%
01/11/2024,158.5,158.9,159.5,158.25,,0.51%
01/10/2024,157.7,158,159,158,,-0.03%
01/09/2024,157.75,157.8,158.5,157.5,,0.16%
01/08/2024,157.5,157.55,158,157.5,,0.32%
01/05/2024,157,157.5,157.85,156.95,,0.00%
01/04/2024,157,157.35,157.7,156.85,,0.32%
01/03/2024,156.5,157,157.6,156.6,,-0.32%
01/02/2024,157,157,157.5,156.45,,-0.28%
01/01/2024,157.44,157.297,157.53,157.297,,0.60%
12/29/2023,156.5,157,157,156.15,,0.00%
12/28/2023,156.5,156.5,157,155.75,,0.32%
12/27/2023,156,156,156.5,154.85,,0.00%
12/26/2023,156,154.97,156,154.97,,0.66%
12/25/2023,154.97,154.871,155,154.871,,-0.34%
12/22/2023,155.5,154.6,156.5,154.6,,0.13%
12/21/2023,155.3,154.75,155.8,154.875,,0.84%
12/20/2023,154,154.1,154.1,154.1,,0.13%
12/19/2023,153.8,153.9,154.1,153.55,,0.00%
12/18/2023,153.8,153.4,153.9,153.35,,0.07%
12/15/2023,153.7,153.5,153.8,153.3,,0.26%
12/14/2023,153.3,153.3,153.6,153.3,,0.00%
12/13/2023,153.3,153.25,153.45,153.2,,-0.07%
12/12/2023,153.4,153.4,153.4,153.4,,0.07%
12/11/2023,153.3,153.35,153.4,153.3,,0.07%
12/08/2023,153.2,153.35,153.4,153.3,,-0.03%
12/07/2023,153.25,153.35,153.4,153.2,,0.00%
12/06/2023,153.25,153.25,153.4,153.1,,0.00%
12/05/2023,153.25,153.3,153.4,153.2,,0.03%
12/04/2023,153.2,153.25,153.35,153,,0.03%
12/01/2023,153.15,153.3,153.3,153.1,,0.00%
11/30/2023,153.15,153.1,153.25,153,,0.03%
11/29/2023,153.1,153.1,153.3,152.7,,0.07%
11/28/2023,153,153,153.1,152.7,,0.07%
11/27/2023,152.9,152.95,153.05,152.8,,0.13%
11/24/2023,152.7,152.85,152.96,152.675,,-0.03%
11/23/2023,152.75,152.8,152.85,152.45,,0.03%
11/22/2023,152.7,152.55,152.8,152.4,,0.13%
11/21/2023,152.5,152.5,152.6,152.3,,0.10%
11/20/2023,152.35,152.3,152.5,152.1,,0.03%
11/17/2023,152.3,152.3,152.6,151.95,,0.07%
11/16/2023,152.2,152.1,152.3,152.1,,0.13%
11/15/2023,152,151.85,152.2,151.85,,0.07%
11/14/2023,151.9,151.7,152.1,151.7,,0.00%
11/13/2023,151.9,151.752,152.44,151.75,,0.23%
11/10/2023,151.55,151.7,151.9,151.45,,0.10%
11/09/2023,151.4,151.4,151.75,151.4,,0.00%
11/08/2023,151.4,151.4,151.65,151.1,,0.03%
11/07/2023,151.35,151.3,151.55,151.1,,0.10%
11/06/2023,151.2,151.1,151.45,151.1,,0.07%
11/03/2023,151.1,151.1,151.3,150.9,,0.23%
11/02/2023,150.75,150.8,151.1,150.6,,-0.03%
11/01/2023,150.8,150.75,151,150.55,,0.23%
10/31/2023,150.45,150.5,150.8,150.45,,-0.03%
10/30/2023,150.5,150.4,150.6,150.2,,0.13%
10/27/2023,150.3,150.3,150.5,150.2,,0.07%
10/26/2023,150.2,150.1,150.45,150.1,,0.07%
10/25/2023,150.1,150.1,150.3,149.85,,0.00%
10/24/2023,150.1,150.05,150.2,149.75,,0.07%
10/23/2023,150,149.95,150.2,149.8,,0.00%
10/20/2023,150,149.88,150,149.88,,0.20%
10/19/2023,149.7,149.65,150,149.65,,-0.07%
10/18/2023,149.8,149.4,149.9,149.4,,0.17%
10/17/2023,149.55,149.5,149.65,149.3,,0.23%
10/16/2023,149.2,149.35,149.5,149.05,,0.00%
10/13/2023,149.2,149.05,149.4,148.9,,0.10%
10/12/2023,149.05,148.9,149.2,148.7,,0.10%
10/11/2023,148.9,148.9,149.05,148.7,,0.74%
10/10/2023,147.8,148.9,148.9,147.8,,-0.67%
10/09/2023,148.8,148.8,148.9,148.45,,0.07%
10/06/2023,148.7,148.7,148.8,148.65,,0.07%
10/05/2023,148.6,148.4,148.85,148.4,,0.03%
10/04/2023,148.55,148.5,148.65,148.3,,0.10%
10/03/2023,148.4,148.2,148.5,148.15,,0.10%
10/02/2023,148.25,148.1,148.35,148.1,,0.10%
09/29/2023,148.1,148.05,148.3,148,,0.07%
09/28/2023,148,148,148.15,147.9,,0.10%
09/27/2023,147.85,147.7,148,147.7,,0.10%
09/26/2023,147.7,147.5,147.9,147.5,,0.07%
09/25/2023,147.6,147.4,147.75,147.15,,0.20%
09/22/2023,147.3,147.3,147.5,147.2,,0.00%
09/21/2023,147.3,147.3,147.4,147.05,,0.10%
09/20/2023,147.15,147.2,147.35,147.05,,0.10%
09/19/2023,147,147.05,147.2,146.9,,0.03%
09/18/2023,146.95,146.9,147.05,146.7,,0.10%
09/15/2023,146.8,146.7,146.95,146.6,,0.07%
09/14/2023,146.7,146.6,146.9,146.5,,0.07%
09/13/2023,146.6,146.35,146.7,146.35,,0.10%
09/12/2023,146.45,146.3,146.55,146.25,,0.10%
09/11/2023,146.3,146.1,146.4,146.1,,0.10%
09/08/2023,146.15,146.05,146.3,145.9,,0.03%
09/07/2023,146.1,146.05,146.3,146,,0.10%
09/06/2023,145.95,145.9,146.1,145.8,,0.07%
09/05/2023,145.85,145.8,146,145.6,,0.10%
09/04/2023,145.7,145.7,145.85,145.5,,0.07%
09/01/2023,145.6,145.55,145.7,145.3,,0.14%
08/31/2023,145.4,145.3,145.6,145.2,,0.07%
08/30/2023,145.3,145.3,145.5,145.1,,0.07%
08/29/2023,145.2,145.2,145.3,144.9,,0.07%
08/28/2023,145.1,145.05,145.25,144.8,,0.14%
08/25/2023,144.9,144.85,145.05,144.7,,0.10%
08/24/2023,144.75,144.7,144.9,144.6,,0.07%
08/23/2023,144.65,144.45,144.8,144.35,,0.21%
08/22/2023,144.35,144.35,144.65,144.25,,0.03%
08/21/2023,144.3,144.3,144.45,144.05,,0.07%
08/18/2023,144.2,144.15,144.35,144.1,,0.00%
08/17/2023,144.2,144,144.3,143.85,,0.17%
08/16/2023,143.95,143.875,144.1,143.7,,0.10%
08/15/2023,143.8,143.7,144.05,143.55,,0.14%
08/14/2023,143.6,143.6,143.9,143.5,,0.07%
08/11/2023,143.5,143.55,143.65,143.25,,0.00%
08/10/2023,143.5,143.5,143.6,143.25,,0.07%
08/09/2023,143.4,143.2,143.5,143.2,,0.10%
08/08/2023,143.25,143.15,143.35,142.9,,0.10%
08/07/2023,143.1,143,143.35,142.9,,0.14%
08/04/2023,142.9,142.85,143.1,142.7,,0.14%
08/03/2023,142.7,142.7,143,142.7,,0.04%
08/02/2023,142.65,142.7,142.8,142.55,,0.04%
08/01/2023,142.6,142.45,142.7,142.2,,0.07%
07/31/2023,142.5,142.4,142.6,142.2,,0.14%
07/28/2023,142.3,142.2,142.45,142.1,,0.04%
07/27/2023,142.25,142.2,142.35,142.05,,0.07%
07/26/2023,142.15,142.1,142.25,142,,0.07%
07/25/2023,142.05,142,142.15,141.8,,0.07%
07/24/2023,141.95,141.7,142.1,141.7,,0.14%
07/21/2023,141.75,141.7,141.9,141.65,,0.04%
07/20/2023,141.7,141.7,141.82,141.545,,0.04%
07/19/2023,141.65,141.575,141.75,141.5,,0.11%
07/18/2023,141.5,141.5,141.65,141.4,,0.04%
07/17/2023,141.45,141.425,141.7,141.35,,0.07%
07/14/2023,141.35,141.375,141.5,141.2,,0.04%
07/13/2023,141.3,141.25,141.4,141.1,,0.14%
07/12/2023,141.1,141.2,141.35,141.175,,0.00%
07/11/2023,141.1,141.05,141.25,140.95,,0.07%
07/10/2023,141,140.975,141.15,140.8,,0.11%
07/07/2023,140.85,140.95,141.05,140.6,,0.00%
07/06/2023,140.85,140.75,140.95,140.65,,0.11%
07/05/2023,140.7,140.7,140.8,140.6,,0.04%
07/04/2023,140.65,140.6,140.75,140.5,,0.04%
07/03/2023,140.6,140.55,140.75,140.5,,0.07%
06/30/2023,140.5,140.5,140.65,140.4,,0.07%
06/29/2023,140.4,140.45,140.6,140.4,,0.80%
06/28/2023,139.29,140.45,140.45,139.29,,-0.76%
06/27/2023,140.35,140.45,140.5,140.425,,0.00%
06/26/2023,140.35,140.45,140.45,140.4,,0.00%
06/23/2023,140.35,140.45,140.45,140.2,,0.04%
06/22/2023,140.3,140.25,140.45,140.1,,0.07%
06/21/2023,140.2,139.95,140.35,139.95,,0.07%
06/20/2023,140.1,140.1,140.3,139.9,,0.04%
06/19/2023,140.05,140.1,140.2,139.9,,0.04%
06/16/2023,140,139.9,140.15,139.7,,0.14%
06/15/2023,139.8,139.7,139.95,139.65,,0.14%
06/14/2023,139.6,139.6,139.8,139.35,,0.04%
06/13/2023,139.55,139.4,139.7,139.2,,0.14%
06/12/2023,139.35,139.35,139.62,139.2,,0.04%
06/09/2023,139.3,139.225,139.45,139.1,,0.11%
06/08/2023,139.15,139.1,139.45,139,,0.07%
06/07/2023,139.05,138.95,139.2,138.8,,0.18%
06/06/2023,138.8,138.85,139.05,138.6,,0.00%
06/05/2023,138.8,138.75,138.95,138.5,,0.07%
06/02/2023,138.7,138.6,138.8,138.4,,1.28%
06/01/2023,136.945,138.65,138.65,136.945,,-1.12%
05/31/2023,138.5,138.475,138.8,138.4,,0.11%
05/30/2023,138.35,138.45,138.6,138.3,,0.00%
05/29/2023,138.35,138.35,138.55,138.1,,0.07%
05/26/2023,138.25,138.2,138.4,137.9,,0.04%
05/25/2023,138.2,138.1,138.3,137.95,,0.14%
05/24/2023,138,137.9,138.25,137.7,,0.07%
05/23/2023,137.9,137.75,138.1,137.5,,0.15%
05/22/2023,137.7,137.7,137.85,137.5,,0.22%
05/19/2023,137.4,137.55,137.7,137.4,,0.00%
05/18/2023,137.4,137.4,137.6,137.2,,0.22%
05/17/2023,137.1,136.95,137.6,136.95,,-0.04%
05/16/2023,137.15,137.1,137.3,136.9,,0.11%
05/15/2023,137,137,137.15,136.8,,0.07%
05/12/2023,136.9,136.9,137.05,136.65,,0.07%
05/11/2023,136.8,136.7,136.95,136.7,,0.11%
05/10/2023,136.65,136.6,136.85,136.55,,0.04%
05/09/2023,136.6,136.6,136.8,136.55,,0.07%
05/08/2023,136.5,136.45,136.65,136.35,,0.11%
05/05/2023,136.35,136.1,136.65,136.1,,0.00%
05/04/2023,136.35,136.2,136.45,136.1,,0.18%
05/03/2023,136.1,136.15,136.3,135.85,,0.04%
05/02/2023,136.05,135.975,136.3,135.85,,0.11%
04/28/2023,135.9,135.9,136.1,135.6,,0.07%
04/27/2023,135.8,135.825,136.05,135.6,,0.04%
04/26/2023,135.75,135.625,135.9,135.55,,0.11%
04/25/2023,135.6,135.45,135.7,135.4,,0.18%
04/24/2023,135.35,135.3,135.6,135.1,,0.07%
04/20/2023,135.25,135.25,135.4,135.05,,0.11%
04/19/2023,135.1,134.9,135.3,134.7,,0.15%
04/18/2023,134.9,134.725,135.05,134.5,,0.19%
04/17/2023,134.65,134.5,134.8,134.475,,0.15%
04/14/2023,134.45,134.4,134.6,134.1,,0.11%
04/13/2023,134.3,133.95,134.45,133.8,,0.37%
04/12/2023,133.8,133.7,134,133.625,,0.19%
04/11/2023,133.55,133.6,133.8,133.525,,0.04%
04/06/2023,133.5,133.25,133.65,133.2,,0.30%
04/05/2023,133.1,132.9,133.6,132.8,,0.23%
04/04/2023,132.8,132.6,133,132.5,,0.23%
04/03/2023,132.5,132.3,132.85,132.3,,0.08%
03/31/2023,132.4,132.35,132.75,132.15,,0.23%
03/30/2023,132.1,132.05,132.55,131.9,,0.08%
03/29/2023,132,131.725,132.2,131.6,,0.23%
03/28/2023,131.7,131.6,131.9,131.4,,0.19%
03/27/2023,131.45,131.45,131.6,131.3,,0.11%
03/24/2023,131.3,131.1,131.5,131.1,,0.08%
03/23/2023,131.2,130.6,131.4,130.6,,0.31%
03/22/2023,130.8,130.6,131.1,130.3,,0.31%
03/21/2023,130.4,130.3,130.7,129.9,,0.38%
03/20/2023,129.9,129.9,130.5,129.8,,0.00%
03/17/2023,129.9,129.8,130.2,129.6,,0.15%
03/16/2023,129.7,129.7,130.1,129.6,,0.00%
03/15/2023,129.7,129.4,130,129.4,,0.23%
03/14/2023,129.4,129.5,129.9,129.25,,0.00%
03/13/2023,129.4,129.3,129.8,128.9,,-0.08%
03/10/2023,129.5,128.8,129.7,128.7,,0.74%
03/09/2023,128.55,128.3,129.2,128.3,,0.19%
03/08/2023,128.3,128.6,128.8,128.1,,-0.04%
03/07/2023,128.35,128,128.6,127.8,,0.27%
03/06/2023,128,127.8,128.4,127.5,,0.39%
03/03/2023,127.5,127.25,128,127.1,,0.16%
03/02/2023,127.3,127.05,127.8,126.85,,0.16%
03/01/2023,127.1,127.2,127.6,126.85,,0.20%
02/28/2023,126.85,126.8,127.3,126.6,,0.04%
02/27/2023,126.8,126.8,127.1,126.2,,0.20%
02/24/2023,126.55,126.4,126.9,126.15,,0.28%
02/23/2023,126.2,126.1,126.7,126.1,,0.16%
02/22/2023,126,125.95,126.5,125.9,,0.04%
02/21/2023,125.95,125.75,126.3,125.75,,-0.04%
02/20/2023,126,125.7,126.1,125.45,,0.40%
02/17/2023,125.5,125.6,125.95,125.4,,-0.04%
02/16/2023,125.55,125.55,125.7,125.3,,0.12%
02/15/2023,125.4,125.25,125.6,125.1,,0.32%
02/14/2023,125,125.25,125.5,125.1,,-0.12%
02/13/2023,125.15,125.15,125.4,125,,0.04%
02/10/2023,125.1,125,125.3,124.85,,0.00%
02/09/2023,125.1,125,125.2,124.85,,0.16%
02/08/2023,124.9,124.75,125.1,124.65,,0.08%
02/07/2023,124.8,124.7,125,124.5,,0.00%
02/06/2023,124.8,124.6,124.95,124.45,,0.12%
02/03/2023,124.65,124.55,124.8,124.3,,0.16%
02/02/2023,124.45,124.5,124.7,124.4,,0.04%
02/01/2023,124.4,124.45,124.6,124.35,,0.00%
01/31/2023,124.4,124.5,124.55,124.4,,0.04%
01/30/2023,124.35,124.4,124.5,124.3,,0.04%
01/27/2023,124.3,124.3,124.45,124.3,,0.04%
01/26/2023,124.25,124.2,124.4,124.2,,0.12%
01/25/2023,124.1,124.2,124.35,124.05,,-0.08%
01/24/2023,124.2,124.2,124.3,124.05,,0.12%
01/23/2023,124.05,124.1,124.25,123.9,,0.04%
01/20/2023,124,124.1,124.2,123.95,,0.04%
01/19/2023,123.95,124.05,124.15,123.99,0.06K,0.00%
01/18/2023,123.95,124,124.1,123.7,0.05K,0.08%
01/17/2023,123.85,123.9,124.1,123.9,0.05K,0.04%
01/16/2023,123.8,123.8,124,123.7,0.06K,0.04%
01/13/2023,123.75,123.8,124.1,123.775,0.05K,0.04%
01/12/2023,123.7,123.65,123.9,123.6,0.05K,-0.04%
01/11/2023,123.75,123.6,123.85,123.6,0.04K,0.12%
01/10/2023,123.6,123.6,123.8,123.4,0.06K,0.04%
01/09/2023,123.55,123.55,123.75,123.5,0.04K,0.08%
